ref_num,item_name_ref,brand
1,مفروم صافى400 جم,ابوهاشم
2,كبدة اسكندرانى400,ابوهاشم
3,برجر400 جم أبو هاشم,ابوهاشم
4,سجق350 جم أبو هاشم,ابوهاشم
5,كفته350 جم أبو هاشم,ابوهاشم
6,مفروم صويا400 جم,ابوهاشم
7,شاورما400 جم,ابوهاشم
8,مفروم3 كيلو,ابوهاشم
9,سجق شر فى3 ك أبو هاشم,ابوهاشم
10,تشكيله هندى اماىم,ابوهاشم
11,كرتونه كبده امريىك,ابوهاشم
12,كيلو برجر,ابوهاشم
13,كيلو اسكندرانى,ابوهاشم
14,كيلو سجق,ابوهاشم
15,كيلو كفته,ابوهاشم
16,مفروم صويا350 جم,ابوهاشم
17,كيلو مفروم هندى,ابوهاشم
18,بفتيك400 جم,ابوهاشم
19,برجر أبو هاشم600 جرام,ابوهاشم
20,طبق ممبار,ابوهاشم
21,برجر1200 جم,ابوهاشم
22,عرض مصنعات,الهنا
23,سجق الهنا800 جرام,الهنا
24,كفته الهنا800 جرام,الهنا
25,كفته الهنا350,الهنا
26,برجر الهنا400 جرام,الهنا
27,سجق800 أبو هاشم,ابوهاشم
28,سجق الهنا350,الهنا
29,كفته أبو هاشم800,ابوهاشم
30,برجر الهنا900 جرام,الهنا
31,برجر800ابو هاشم,ابوهاشم
32,سجق الهنا5 كيلو,الهنا
33,كبده3 كيلو,ابوهاشم
34,بانيه900 جرام,الهنا
35,عجينه سجق5 كيلو الهنا,الهنا
36,جلد فراخ,ابوهاشم
37,موزه,ابوهاشم
38,بانيه800 جرام,الهنا
39,ام اكس,ابوهاشم
40,مفروم فراخA,ابوهاشم
41,عجينه كفته الهنا خام,الهنا
42,بانيه800 جرام اسباشيل,اسبشيال
43,بانيه900 جرام اسباشيل,اسبشيال
44,كفته اسبشيال صغبر,اسبشيال
45,كفته اسبشيال عائىل,اسبشيال
46,برجر اسبشيال صغبر,اسبشيال
47,برجر اسبشيال عائىل,اسبشيال
48,سجق اسبشيال صغبر,اسبشيال
49,سجق اسبشيال عائىل,اسبشيال
50,برجر الهنا800 جرام,الهنا
51,برجر أبو هاشم1 ك,ابوهاشم
52,بانيه700 جرام,الهنا
53,سجق اسبشيال5 ك,اسبشيال
54,بفتيك600 جرام,ابوهاشم
55,عجينة بقرى1 ك,ابوهاشم
56,عجينة بقرى5 ك,ابوهاشم
57,عجينة بقرى500 جرام,ابوهاشم
58,برجر أبو هاشم جامبو1.50 كيلو,ابوهاشم
