ref_num,item_name_ref,units_per_carton,pack_type
1,مفروم صافى400 جم,20,علبة
2,كبدة اسكندرانى400,20,علبة
3,برجر400 جم أبو هاشم,20,كيس
4,سجق350 جم أبو هاشم,20,كيس
5,كفته350 جم أبو هاشم,20,كيس
6,مفروم صويا400 جم,28,علبة
7,شاورما400 جم,20,كيس
8,مفروم3 كيلو,4,كيس
9,سجق شر فى3 ك أبو هاشم,4,كيس
10,تشكيله هندى اماىم,,
11,كرتونه كبده امريىك,,
12,كيلو برجر,,
13,كيلو اسكندرانى,,
14,كيلو سجق,,
15,كيلو كفته,,
16,مفروم صويا350 جم,,
17,كيلو مفروم هندى,,
18,بفتيك400 جم,20,كيس
19,برجر أبو هاشم600 جرام,20,كيس
20,طبق ممبار,,
21,برجر1200 جم,11,كيس
22,عرض مصنعات,,
23,سجق الهنا800 جرام,12,كيس
24,كفته الهنا800 جرام,12,كيس
25,كفته الهنا350,15,كيس
26,برجر الهنا400 جرام,15,كيس
27,سجق800 أبو هاشم,16,كيس
28,سجق الهنا350,15,كيس
29,كفته أبو هاشم800,16,كيس
30,برجر الهنا900 جرام,12,كيس
31,برجر800ابو هاشم,16,كيس
32,سجق الهنا5 كيلو,2,كيس
33,كبده3 كيلو,4,كيس
34,بانيه900 جرام,10,كيس
35,عجينه سجق5 كيلو الهنا,3,كيس
36,جلد فراخ,,
37,موزه,,
38,بانيه800 جرام,12,كيس
39,ام اكس,,
40,مفروم فراخA,,
41,عجينه كفته الهنا خام,,
42,بانيه800 جرام اسباشيل,12,كيس
43,بانيه900 جرام اسباشيل,10,كيس
44,كفته اسبشيال صغير,15,كيس
45,كفته اسبشيال عائىل,12,كيس
46,برجر اسبشيال صغير,15,كيس
47,برجر اسبشيال عائىل,12,كيس
48,سجق اسبشيال صغير,15,كيس
49,سجق اسبشيال عائىل,12,كيس
50,برجر الهنا800 جرام,12,كيس
51,برجر أبو هاشم1 ك,12,كيس
52,بانيه700 جرام,12,كيس
53,سجق اسبشيال5 ك,2,كيس
54,بفتيك600 جرام,,
55,عجينة بقرى1 ك,,
56,عجينة بقرى5 ك,3,كيس
57,عجينة بقرى500 جرام,,
58,برجر أبو هاشم جامبو1.50 كيلو,9,كيس
