month,brand,line_total
2025-01,ابوهاشم,692477.0
2025-01,اسبشيال,2400.0
2025-01,الهنا,2226851.96
2025-01,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),6564.0
2025-02,ابوهاشم,599744.5
2025-02,اسبشيال,1935.0
2025-02,الهنا,1547596.47
2025-02,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),3695.0
2025-03,ابوهاشم,997370.0
2025-03,اسبشيال,220.0
2025-03,الهنا,2320304.495
2025-03,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),9020.0
2025-04,ابوهاشم,413467.94
2025-04,الهنا,2026584.6300000001
2025-04,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),2938.95
2025-05,ابوهاشم,781748.4
2025-05,اسبشيال,262876.19
2025-05,الهنا,2118736.56
2025-06,ابوهاشم,718546.0
2025-06,اسبشيال,290218.875
2025-06,الهنا,1107512.86
2025-07,ابوهاشم,796953.0
2025-07,اسبشيال,448276.0
2025-07,الهنا,1388327.17
2025-07,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),8500.0
2025-08,ابوهاشم,828903.91
2025-08,اسبشيال,472256.01
2025-08,الهنا,1741552.06
2025-09,ابوهاشم,918670.2
2025-09,اسبشيال,547182.47
2025-09,الهنا,2405184.41
2025-09,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),2810.0
2025-10,ابوهاشم,786613.8
2025-10,اسبشيال,646013.07
2025-10,الهنا,2276745.87
2025-10,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),2250.0
2025-11,ابوهاشم,898517.92
2025-11,اسبشيال,456359.31
2025-11,الهنا,1677177.91
2025-11,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),400.0
2025-12,ابوهاشم,827262.72
2025-12,اسبشيال,392851.89
2025-12,الهنا,1952212.62
2025-12,غير مصنف (صنف جديد/غير مدرج بملف التصنيف),1200.0
2026-01,ابوهاشم,874023.6
2026-01,اسبشيال,510340.45
2026-01,الهنا,1294567.66
2026-02,ابوهاشم,1021366.2
2026-02,اسبشيال,490404.37
2026-02,الهنا,1954225.64
2026-03,ابوهاشم,913891.58
2026-03,اسبشيال,676235.16
2026-03,الهنا,1722949.61
2026-04,ابوهاشم,883582.6
2026-04,اسبشيال,1168207.91
2026-04,الهنا,2441206.79
2026-05,ابوهاشم,1421969.97
2026-05,اسبشيال,874696.98
2026-05,الهنا,1868173.68
2026-06,ابوهاشم,1022948.6
2026-06,اسبشيال,987523.99
2026-06,الهنا,1857018.2
