invoice_id,item_code,item_name_raw,unit_price,z
a2188,1,مفروم صافى 400 جم,30.0,-5.880268774302202
a2343,101,كفته الهنا 800 جرام,90.0,5.932782686844099
A249,346,بانية 800 جرام,40.0,-4.175479345864072
A321,262,بانيه 900 جرام,65.0,4.07511996273882
b0815,20,كيلو اسكندرانى,82.5,-4.332390225455299
b1054,8,كفته 350 جم ابو هاشم,85.0,7.70843886346568
b1069,6,برجر 400 جم ابو هاشم,1.0,-7.655481866228008
b1333,102,كفته الهنا 350,53.6,13.632506927253447
b1424,2,كبده اسكندرانى 400,95.0,5.3320152898837385
B2357,441,استريس اسبشيال 900 جرام,145.0,-4.009751773608156
