month,brand,avg_selling_price
2025-01,ابوهاشم,119.6829237146279
2025-01,اسبشيال,88.88888888888889
2025-01,الهنا,35.788244861224946
2025-01,غير مصنف,20.0
2025-02,ابوهاشم,94.4802729625853
2025-02,اسبشيال,120.9375
2025-02,الهنا,35.8339462350653
2025-02,غير مصنف,97.91666666666667
2025-03,ابوهاشم,108.00476216245468
2025-03,اسبشيال,55.0
2025-03,الهنا,35.634132409049386
2025-03,غير مصنف,135.86206896551724
2025-04,ابوهاشم,99.93729768411347
2025-04,الهنا,35.57346328705085
2025-04,غير مصنف,240.0
2025-05,ابوهاشم,129.42361466368004
2025-05,اسبشيال,43.421901222332345
2025-05,الهنا,36.60694149763295
2025-06,ابوهاشم,143.45098822120184
2025-06,اسبشيال,49.53047666996621
2025-06,الهنا,38.27721227621483
2025-07,ابوهاشم,130.1637039431157
2025-07,اسبشيال,46.04550356941092
2025-07,الهنا,39.39746218678169
2025-08,ابوهاشم,144.94114427599712
2025-08,اسبشيال,43.614334133727375
2025-08,الهنا,37.33870888898418
2025-09,ابوهاشم,142.84300108510308
2025-09,اسبشيال,46.41466366952243
2025-09,الهنا,37.56398522544472
2025-10,ابوهاشم,122.9238488507986
2025-10,اسبشيال,46.27600787965616
2025-10,الهنا,36.12907421806814
2025-11,ابوهاشم,133.505503334972
2025-11,اسبشيال,43.92716430840312
2025-11,الهنا,34.99953902337229
2025-12,ابوهاشم,143.5825537180629
2025-12,اسبشيال,40.02566377992868
2025-12,الهنا,36.48586364146077
2026-01,ابوهاشم,129.40445944745494
2026-01,اسبشيال,45.18286409915892
2026-01,الهنا,38.39054772990125
2026-02,ابوهاشم,113.27569915179048
2026-02,اسبشيال,44.67562813154778
2026-02,الهنا,36.617242968764636
2026-03,ابوهاشم,155.48984772437262
2026-03,اسبشيال,47.00974348279457
2026-03,الهنا,37.81632558547881
2026-04,ابوهاشم,193.24896932582428
2026-04,اسبشيال,46.9536941318328
2026-04,الهنا,44.77060520476095
2026-05,ابوهاشم,183.30260650982922
2026-05,اسبشيال,51.13093938153972
2026-05,الهنا,44.45915468824369
2026-06,ابوهاشم,203.14737364710558
2026-06,اسبشيال,50.913796143534746
2026-06,الهنا,48.416587146395514
